,allInPings,assistMePings,assists,baronKills,bountyLevel,champExperience,champLevel,championName,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,goldEarned,goldSpent,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,pushPings,quadraKills,role,spell1Casts,spell2Casts,spell3Casts,spell4Casts,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
0,0,1,7,0,0,6161,10,Nautilus,0,4,337,3924,337,15078,6,2,0,0,2,0,True,False,False,False,False,True,5927,5650,UTILITY,0,0,0,3075,3876,6660,1029,3111,0,3364,16,1,2,BOTTOM,0,2,1,454,14751,3327,7701,0,0,0,0,0,0,0,16,11605,1762,6238,0,0,SUPPORT,16,15,27,3,False,100,UTILITY,29,1328,0,30258,5737,0,14754,0,1293,0,36,195,101,1,0,3901,648,813,0,0,4,36,2,4,14,False
1,0,6,10,0,0,15060,16,Zeri,2,7,3171,11894,3171,11511,7,6,2,0,2,0,True,False,False,False,False,False,14799,14550,BOTTOM,0,0,1,3031,1031,3013,6672,3085,3087,3363,27,2,4,BOTTOM,1243,2,2,563,34593,7615,10315,0,25,0,1,0,0,0,7,183761,19517,13054,0,0,CARRY,631,40,16,7,False,100,BOTTOM,8,2120,16,242760,27853,0,25098,8,5283,0,260,201,287,1,0,24405,720,1728,0,2,7,31,6,6,12,False
2,0,2,9,0,0,8615,12,Draven,1,2,4525,5086,4525,8635,5,1,1,0,4,0,False,False,False,False,False,True,8980,7850,BOTTOM,0,1,0,1055,1038,3072,1037,3111,1018,3363,14,2,5,BOTTOM,464,2,2,454,0,0,9404,0,0,0,0,0,0,0,6,74117,18442,6049,0,0,CARRY,50,65,13,5,False,200,BOTTOM,11,1448,0,79695,18442,0,16829,0,5318,402,123,62,84,4,0,5578,0,1375,0,2,3,8,1,1,5,True
3,0,2,10,0,0,11006,13,Seraphine,1,4,1604,1604,1604,13913,6,2,0,0,0,0,False,False,False,False,False,False,11726,10950,BOTTOM,0,0,2,1056,3165,6653,3040,3020,3145,3363,22,2,9,BOTTOM,0,4,1,489,90046,21237,2463,1,0,0,1,0,0,0,6,11764,2779,15411,0,0,CARRY,73,30,52,7,False,200,BOTTOM,36,1629,0,103391,25450,2080,19390,0,1881,559,137,268,124,5,0,1580,1433,1514,0,1,9,9,2,0,8,False
4,0,3,8,0,1,14424,15,Twitch,1,5,6575,7592,6575,9003,4,4,0,0,2,0,False,False,False,False,False,False,15985,13100,BOTTOM,0,0,0,1043,3051,3085,3006,3153,3031,3363,21,3,12,BOTTOM,619,4,1,709,0,0,11342,0,16,1,0,1,0,0,7,155304,22161,8201,0,0,CARRY,30,25,26,8,False,100,BOTTOM,8,1830,14,163653,25837,0,20427,0,9084,0,200,235,143,1,0,8349,3676,883,2,2,4,19,4,0,11,True
5,0,5,6,1,1,17485,17,Vayne,4,5,9163,20943,9163,15144,5,3,3,0,8,0,False,False,False,False,False,False,18071,16325,BOTTOM,0,0,0,6672,3091,3153,3006,3123,1057,3363,25,4,16,BOTTOM,0,5,3,644,21074,3047,6612,0,12,1,0,1,0,0,17,162135,24934,14552,0,0,CARRY,90,0,10,11,False,200,BOTTOM,13,2066,5,209850,36861,0,21873,2,9263,0,242,113,175,1,1,26640,8879,708,4,6,5,29,3,7,11,True
6,0,0,12,0,0,13525,15,MissFortune,0,4,4533,7854,4533,6825,3,3,0,0,4,0,False,True,False,False,False,False,12277,11025,BOTTOM,0,0,0,1055,6672,3009,6676,3031,0,3363,18,2,5,BOTTOM,931,3,1,883,5023,1020,3880,0,4,0,0,0,0,0,5,154440,18589,10363,0,0,CARRY,69,33,30,6,False,100,BOTTOM,8,1779,0,166674,20194,0,14830,0,3584,411,220,154,105,2,0,7209,584,585,1,1,3,12,3,1,5,True
7,0,2,6,0,0,14181,15,Caitlyn,2,5,3477,5159,3477,17375,8,3,0,0,6,2,False,False,False,False,False,False,12850,12600,BOTTOM,0,0,3,3072,2055,3047,3134,3031,3036,3363,22,0,3,MIDDLE,1454,0,1,720,648,438,7542,0,12,0,1,0,0,0,6,199888,25884,18180,0,0,DUO,58,23,13,7,False,200,BOTTOM,17,2239,12,202116,26581,0,25996,0,7789,588,232,74,241,3,0,1579,258,273,1,1,11,23,4,2,10,False
8,0,0,7,0,1,13933,15,Corki,2,5,5739,22457,5739,14441,2,3,0,1,8,0,False,True,False,False,False,False,13165,11925,BOTTOM,1,2,0,3158,3036,3042,1038,1055,3031,3363,25,1,5,BOTTOM,878,3,1,799,62401,6263,9087,0,12,0,0,1,0,0,8,122205,20007,10872,0,0,CARRY,93,20,49,72,False,100,BOTTOM,1,1913,4,205808,28671,0,21299,4,5736,0,238,31,49,1,0,21201,2400,1340,3,4,2,17,4,2,9,True
9,0,0,4,0,0,13768,15,Sion,0,4,2752,8047,2752,48834,4,3,0,0,0,3,False,False,False,False,False,False,10165,9525,TOP,0,0,2,1054,1031,3111,3067,6664,2501,3340,19,0,2,TOP,0,0,1,643,63541,6798,15977,0,4,0,1,0,0,0,4,86473,6304,15577,0,0,SOLO,56,44,42,8,False,100,TOP,26,1719,0,154528,13106,0,33410,0,7697,0,224,607,145,1,0,4513,4,1855,1,1,9,22,3,1,12,False
10,0,4,10,0,0,16090,16,Aphelios,3,4,2598,16951,2598,27980,9,2,2,0,2,0,False,False,False,False,False,False,14468,13825,BOTTOM,0,0,0,1038,3009,3031,3072,3036,2019,3363,23,2,6,BOTTOM,1036,2,2,732,2605,1453,6222,0,42,1,0,1,0,0,10,209029,22868,20896,0,0,CARRY,58,123,0,10,False,100,BOTTOM,20,2250,28,231309,25605,0,29454,8,6287,0,205,190,343,1,0,19674,1283,2335,1,4,6,14,3,1,8,True
11,0,0,1,0,0,557,2,Aphelios,0,1,0,0,0,264,1,0,0,0,0,0,True,False,False,False,True,False,1044,800,BOTTOM,0,0,0,1055,1001,0,0,0,0,3340,4,0,0,NONE,0,0,0,150,0,0,165,0,0,0,0,0,0,0,0,2008,742,742,0,0,SUPPORT,2,12,0,0,False,200,BOTTOM,0,192,0,2008,742,0,907,0,27,0,10,0,6,1,0,0,0,0,0,0,0,0,0,0,0,True
12,0,2,8,0,0,12879,14,KogMaw,0,3,1464,6656,1464,12137,8,2,2,0,1,0,False,False,False,False,False,False,13488,12750,BOTTOM,0,0,1,3124,1031,6672,1057,3153,3006,3363,26,1,8,BOTTOM,0,6,2,745,33903,10663,8249,0,14,0,1,0,0,0,7,121025,16571,14644,0,0,CARRY,27,44,30,12,False,200,BOTTOM,13,1980,14,169776,30750,0,24231,0,8022,645,198,246,232,4,0,14847,3516,1337,0,0,8,29,2,9,8,False
13,0,3,5,1,1,12286,14,Caitlyn,1,5,6148,9693,6148,8638,6,4,0,0,1,0,False,False,False,False,False,False,11056,9900,BOTTOM,0,1,0,1055,3134,3031,1018,3036,3006,3363,21,1,6,BOTTOM,874,2,1,686,539,539,6020,0,11,1,0,1,0,0,3,125492,16109,12915,0,0,CARRY,33,14,11,7,False,100,BOTTOM,9,1731,5,133885,16820,0,19932,0,4881,258,175,54,182,2,0,7854,172,996,2,5,3,14,4,1,8,True
14,0,2,15,1,1,18836,18,Vayne,7,3,3278,16909,3278,20643,8,2,1,1,3,0,False,False,False,False,False,True,15731,12650,BOTTOM,1,1,0,1055,6672,6665,3153,6670,3006,3363,22,1,8,BOTTOM,461,3,2,607,0,0,10999,0,38,0,0,0,0,0,11,181307,23861,18138,0,0,CARRY,113,0,14,12,False,200,BOTTOM,20,2161,24,206268,30817,0,30489,2,10828,548,218,113,296,2,0,24960,6955,1351,0,1,4,21,2,2,10,True
15,0,1,3,0,10,20796,18,Caitlyn,5,6,11986,24380,11986,27849,5,3,4,0,5,2,False,False,False,False,False,False,23354,21300,BOTTOM,0,1,3,6701,6676,3026,3031,3036,3072,3363,27,4,21,BOTTOM,3023,10,4,550,3450,1420,11144,0,32,0,0,1,0,0,39,385478,64486,14494,0,2,CARRY,64,53,18,12,False,200,BOTTOM,54,2733,24,398220,70579,0,29271,0,13074,1296,322,255,171,5,2,9291,4672,3632,3,5,9,37,4,5,12,True
16,0,2,10,0,0,14767,16,Jhin,4,3,2378,26821,2378,15676,8,2,1,1,4,0,False,False,False,False,False,False,14453,14250,BOTTOM,0,0,1,6665,6676,3009,3031,3094,1029,3363,20,3,11,BOTTOM,1316,5,2,548,5876,1467,9314,0,12,0,1,0,0,0,10,172639,24254,17785,0,0,CARRY,69,22,25,22,False,100,BOTTOM,23,2059,6,179310,26015,0,27906,0,4621,0,188,115,311,1,0,794,293,806,1,1,8,15,2,1,8,False
17,0,0,14,0,1,14690,15,KogMaw,0,3,2011,17604,2011,14248,7,2,1,2,3,0,True,False,False,False,False,True,12780,11450,BOTTOM,1,2,0,3085,1057,0,3124,3006,3153,3363,24,1,5,BOTTOM,350,2,2,546,47507,13647,13115,0,32,0,0,0,0,0,7,122588,15915,14088,0,0,CARRY,35,32,18,19,False,100,BOTTOM,14,1919,24,193736,34577,0,29449,0,11542,825,191,278,243,3,0,23641,5014,2245,1,2,2,13,2,0,7,True
18,0,1,14,0,0,26146,18,Malzahar,0,7,4795,12244,4795,22864,5,3,0,0,8,0,False,False,False,False,False,False,19331,16875,MIDDLE,0,0,3,3165,3157,3089,3020,3116,3118,3363,23,2,8,MIDDLE,0,4,1,1168,310198,38702,11258,0,22,0,1,0,0,0,16,24813,1460,12444,0,0,SOLO,104,158,167,18,False,100,MIDDLE,87,2770,10,343692,41669,0,25701,6,2288,0,341,1211,173,1,0,8680,1506,1998,2,2,9,29,3,3,16,False
19,0,3,11,0,0,13210,15,Sejuani,3,4,71,5754,71,61276,8,3,0,0,0,1,False,False,False,False,False,False,11289,10825,JUNGLE,0,0,3,1103,6665,3111,6664,3075,1029,3364,27,0,5,JUNGLE,52,0,1,521,53511,7868,10774,0,78,0,1,0,1,0,8,90125,10025,36190,0,0,NONE,48,87,35,7,False,100,JUNGLE,33,1744,66,181603,18295,0,49537,0,10272,809,100,315,165,4,0,37966,402,2572,0,0,11,19,3,3,6,False
20,0,3,10,0,0,15847,16,Vayne,1,3,2492,5299,2492,21081,11,2,0,0,0,0,False,False,False,False,False,False,16368,14650,BOTTOM,0,0,3,3124,6672,3153,3006,3091,1057,3363,24,2,11,BOTTOM,388,2,1,444,30077,5134,14363,0,8,0,1,0,0,0,7,166830,33062,15595,0,0,CARRY,108,0,6,10,False,200,BOTTOM,10,2155,4,228585,53562,0,31613,2,9839,0,250,51,318,1,0,31677,15364,1654,1,1,11,14,2,3,7,False
21,0,0,11,0,1,13620,15,KogMaw,0,2,9433,24714,9433,9253,5,1,2,1,3,0,False,False,False,False,False,False,14026,12375,BOTTOM,1,2,0,1057,3153,3006,3124,3085,1031,3340,23,1,7,BOTTOM,330,5,2,734,52148,9368,6520,0,35,0,0,0,0,0,13,119915,12663,13108,0,0,CARRY,37,42,15,34,False,100,BOTTOM,7,1791,21,179215,24622,0,20352,0,7722,576,174,145,169,3,0,7150,2590,723,3,5,0,21,1,5,7,True
22,0,5,5,0,0,10118,13,Tristana,0,4,327,327,327,8140,8,3,0,0,6,0,False,False,False,False,False,False,9843,9575,BOTTOM,0,0,2,1055,6672,3031,3006,3035,0,3363,22,1,4,BOTTOM,577,3,1,635,17646,2135,8653,0,12,0,1,0,0,0,7,78774,15244,13304,0,0,CARRY,24,17,22,5,False,100,BOTTOM,2,1819,9,96442,17379,0,24047,0,4866,547,141,10,227,4,0,21,0,2089,0,0,10,20,3,3,10,False
23,0,0,5,0,0,10450,13,Yasuo,0,4,1478,2323,1478,24876,8,3,1,0,3,0,False,False,False,False,False,False,11689,11325,BOTTOM,0,0,1,3153,3031,3006,6673,0,0,3363,19,3,8,BOTTOM,598,4,2,543,8267,1438,3096,0,8,0,1,0,0,0,15,131799,21630,19998,0,0,CARRY,233,16,98,7,False,100,BOTTOM,32,1787,5,141349,23327,0,27462,0,7515,712,180,140,233,3,0,1281,257,4366,0,0,7,16,3,2,8,False
24,0,0,5,0,0,11116,13,Ezreal,0,4,0,302,0,9610,12,2,0,0,6,0,False,False,False,False,False,False,11577,10558,BOTTOM,0,0,1,1055,2055,3042,3078,3158,3036,3363,20,3,10,BOTTOM,486,2,1,207,12660,5487,6377,0,4,0,1,0,0,0,14,100586,23895,17933,0,0,CARRY,194,25,24,9,False,100,BOTTOM,6,1515,2,115604,29999,0,25013,0,4745,797,141,37,234,5,0,2358,616,702,0,0,11,12,3,1,7,False
25,0,0,5,0,4,11777,14,Lucian,0,4,4820,8656,4820,6879,4,3,1,0,6,0,False,False,False,False,False,False,13372,10875,BOTTOM,1,2,0,1055,6672,3158,3508,1036,6675,3363,20,4,11,MIDDLE,514,4,3,537,7640,857,6984,0,40,0,0,1,0,0,10,144562,14743,7482,0,0,DUO,73,35,46,11,False,100,BOTTOM,0,1483,22,156187,16131,0,14603,12,5518,343,168,41,91,2,1,3984,530,136,2,4,1,23,3,2,10,True
26,0,0,6,0,1,8094,11,Smolder,4,3,0,0,0,6963,7,2,0,0,1,1,False,False,False,False,False,False,8483,8350,BOTTOM,0,0,1,1055,3042,3158,3508,1038,0,3363,18,0,3,BOTTOM,316,0,1,341,6954,3032,9189,0,0,0,1,0,0,0,7,76926,13632,8533,0,0,CARRY,108,35,16,6,False,200,BOTTOM,9,1480,0,84342,16730,0,18310,0,3057,0,150,249,124,1,0,462,66,587,0,0,8,13,2,1,6,False
27,0,0,4,0,0,5079,9,Caitlyn,2,3,2036,2036,2036,2885,3,1,0,0,1,0,False,True,False,False,False,True,5949,5550,BOTTOM,0,0,0,1055,2055,3095,2015,3006,0,3340,12,1,3,NONE,205,2,1,570,367,367,1807,0,0,0,0,0,0,0,5,43374,10702,5151,0,0,DUO,18,12,4,3,False,200,BOTTOM,12,944,0,46881,11069,0,7365,0,896,0,95,23,54,1,0,3140,0,407,0,0,2,3,2,1,2,False
28,0,2,11,0,0,15446,16,Twitch,1,5,6462,24107,6462,11137,6,4,0,0,2,0,False,False,False,True,False,False,14011,12200,BOTTOM,1,1,0,1038,0,6672,3006,3085,3153,3363,25,3,10,BOTTOM,472,4,1,435,6069,1788,8119,0,22,0,0,0,0,0,8,158892,36614,13231,0,0,CARRY,22,18,24,8,False,100,BOTTOM,13,1775,0,184702,41802,0,27442,18,9876,0,180,277,169,1,0,19741,3399,6091,4,5,1,25,4,6,11,True
29,0,0,5,0,0,14189,15,Caitlyn,1,6,892,7530,892,11716,11,5,1,0,6,0,False,False,False,False,False,False,13565,13025,BOTTOM,0,0,2,1036,3031,3095,6672,3006,1038,3363,28,4,9,BOTTOM,1317,2,2,486,6789,2889,17293,0,28,0,1,0,0,0,9,204425,46896,14828,0,0,SOLO,47,48,18,8,False,200,BOTTOM,30,2262,26,221102,50625,0,36195,0,9274,0,169,185,330,1,0,9887,840,4074,0,0,11,27,5,3,16,False
30,0,0,9,0,0,14710,16,Caitlyn,3,4,4186,13735,4186,10328,5,3,1,0,3,0,False,False,False,False,False,False,14136,13625,BOTTOM,0,0,1,1038,6672,2019,7040,3031,3006,3363,20,3,9,BOTTOM,1693,4,2,827,4506,1562,11795,0,16,0,1,0,0,0,16,195996,22954,10071,0,0,CARRY,40,19,14,5,False,100,BOTTOM,29,2077,8,206141,25688,0,25682,0,10386,964,237,219,150,5,0,5637,1171,3815,1,1,7,33,3,8,10,False
31,0,0,5,0,0,8813,12,Vayne,0,4,0,672,0,5091,5,2,1,0,3,0,False,False,False,False,False,True,8792,8375,BOTTOM,0,0,2,1055,2055,6673,3006,1036,3153,3363,17,1,6,MIDDLE,343,4,2,370,1138,387,5867,0,4,0,0,0,0,0,5,45578,9770,7195,0,0,DUO,57,0,6,6,False,100,BOTTOM,9,1348,4,58950,12537,0,13625,0,5197,436,115,12,84,3,0,12232,2379,562,0,0,7,14,3,1,9,False
32,0,0,11,0,0,11581,14,JarvanIV,0,5,3399,10592,3399,27345,3,3,0,0,7,0,False,False,True,False,False,True,9479,7775,TOP,0,1,0,3121,6660,6692,1036,0,3158,3363,20,1,5,TOP,0,5,1,806,6975,985,5960,0,14,0,0,0,0,0,7,61636,10183,9136,0,0,SOLO,56,41,49,10,False,200,TOP,24,1455,2,78588,11415,0,15383,2,4367,0,107,328,82,1,0,9976,246,286,0,3,3,13,3,2,7,True
33,0,7,7,0,0,14238,15,Varus,2,6,4369,7788,4369,16364,10,3,1,0,10,1,False,True,False,False,False,False,16299,15175,BOTTOM,0,0,2,3153,3142,3124,3302,3006,1038,3363,25,3,10,BOTTOM,0,4,3,428,28128,5546,13360,0,34,0,1,0,0,0,15,167183,14645,18845,0,0,CARRY,38,13,22,12,False,100,BOTTOM,41,2122,32,217378,21439,0,33987,0,11292,760,211,263,326,2,1,22066,1246,1781,1,2,11,19,5,3,10,False
34,0,0,7,1,13,11913,14,Kalista,0,5,6084,30982,6084,9846,5,4,7,2,6,0,False,True,False,True,False,False,16820,13900,BOTTOM,0,1,0,1055,3091,3153,3124,3006,3302,3363,19,4,23,BOTTOM,0,13,3,286,22079,7055,7230,0,16,0,0,1,0,0,13,117138,29956,11593,0,0,CARRY,28,4,90,4,False,100,BOTTOM,15,1530,0,143884,38393,0,21279,4,10149,688,138,107,79,3,1,4666,1382,2455,2,6,3,22,4,0,8,True
35,0,5,4,0,0,9891,12,Ezreal,1,3,470,3426,470,7255,9,1,2,0,3,0,False,True,False,False,False,False,10759,10250,BOTTOM,0,0,3,1055,3026,3042,3158,0,3508,3363,20,2,8,BOTTOM,413,3,2,486,22924,5358,13052,0,0,0,1,0,0,0,5,87255,14629,8833,0,0,SOLO,198,30,23,10,False,100,BOTTOM,2,1599,0,113109,20327,0,22478,0,4962,477,143,16,204,3,0,2930,340,593,0,0,11,16,2,1,8,False
36,0,0,9,0,6,20539,18,Aphelios,0,6,7244,28261,7244,39538,6,3,2,1,4,0,True,False,False,True,False,False,18063,15400,BOTTOM,1,1,2,6673,3031,3091,3095,1038,3006,3363,23,4,14,BOTTOM,918,6,2,696,35710,8196,9339,0,16,0,0,0,0,0,8,228113,42980,21342,0,0,CARRY,66,100,0,12,False,200,BOTTOM,23,2317,8,269383,51968,0,32188,0,12849,0,238,209,190,1,0,5558,791,1505,3,6,10,34,5,6,12,True
37,0,5,12,0,0,17114,17,Xayah,1,4,5848,20893,5848,15637,6,3,0,1,8,0,False,False,False,False,False,False,15457,13525,BOTTOM,1,1,0,1038,6675,6672,3036,3006,2019,3363,24,3,9,BOTTOM,551,3,1,857,718,88,13438,1,44,0,0,0,0,0,21,224071,29005,16621,0,0,CARRY,66,29,50,9,False,100,BOTTOM,16,2044,24,233113,32138,0,30934,6,11913,562,213,109,203,3,0,8322,3043,874,4,4,5,17,3,2,11,True
38,0,0,8,0,0,13503,15,Smolder,0,4,3899,9202,3899,12982,8,2,1,1,1,1,False,False,False,False,False,False,14342,14525,BOTTOM,0,0,5,3072,3094,3508,3158,0,6675,3363,26,2,9,MIDDLE,507,3,2,545,20877,6593,19776,0,12,0,1,0,0,0,12,193685,27425,8417,0,0,DUO,173,51,36,11,False,100,BOTTOM,10,1984,5,228361,36032,0,28946,0,6707,470,237,260,204,3,0,13798,2013,753,2,2,11,21,3,4,9,False
39,0,0,13,0,0,20513,18,Annie,0,7,2945,20167,2945,13657,4,5,1,0,3,0,False,False,False,False,False,False,16087,16075,MIDDLE,0,1,0,4629,3089,4632,3020,4646,3118,3363,26,3,11,MIDDLE,0,4,3,840,153499,20232,6784,0,4,0,0,0,0,0,15,24534,833,11275,0,0,DUO,215,70,59,130,False,100,MIDDLE,31,2169,0,190576,23823,2201,18569,4,2439,0,274,416,117,1,1,12542,2757,508,0,2,5,39,5,5,12,True
40,0,3,8,0,4,6386,10,Aphelios,0,4,2156,5782,2156,5610,5,3,1,0,4,0,False,False,False,False,False,True,7634,6625,BOTTOM,0,0,0,1055,6673,1043,3086,3006,0,3340,16,1,6,NONE,351,4,2,140,703,341,2013,0,0,0,0,0,0,0,11,44969,7452,7396,0,0,SUPPORT,25,71,0,4,False,100,BOTTOM,5,1119,0,47243,7882,0,9734,0,3225,0,94,33,44,1,0,1570,88,324,1,2,2,16,3,2,7,True
41,0,1,9,0,0,13446,15,Smolder,2,5,234,8803,234,12657,9,4,0,0,4,0,False,False,False,False,False,False,12021,11775,BOTTOM,0,0,3,1055,1037,3158,6675,3071,3508,3363,20,1,5,MIDDLE,494,2,1,290,19813,5754,10032,0,1,0,1,0,0,0,17,160047,22359,13972,0,0,DUO,195,51,28,9,False,100,BOTTOM,9,1949,0,189220,29904,0,24536,0,4201,0,229,166,182,1,0,9359,1790,532,0,0,10,21,4,2,12,False
42,0,0,1,0,0,11131,13,Vayne,2,4,2732,7636,2732,8209,6,2,1,0,8,0,False,False,False,False,False,True,12506,11925,BOTTOM,0,0,0,3091,2055,3006,6672,2019,3153,3363,24,3,9,BOTTOM,369,4,2,563,4196,267,9193,0,12,0,0,0,0,0,6,93859,15305,6956,0,0,CARRY,78,0,8,7,False,100,BOTTOM,6,1669,10,108728,19694,0,16788,0,4702,0,183,35,140,1,0,10672,4121,638,1,1,4,19,3,1,11,False
